year,subject,position,school_id,school_name,slug,city,voivodeship,score,voivodeship_position,voivodeship_total,is_public
2022,overall,86,019c23da-ce21-7983-91bc-81d75501e8ec,SZKOŁA PODSTAWOWA NR 84 IM. JANA BRZECHWY W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-84-im-jana-brzechwy-w-gdansku-20599,Gdańsk,POMORSKIE,64.59,169,645,True
2022,overall,87,019c23a3-6c54-7172-91cf-67b2ea639da9,SZKOŁA PODSTAWOWA NR 29 IM. STEFANA ŻEROMSKIEGO,gdynia/szkola-podstawowa/szkola-podstawowa-nr-29-im-stefana-zeromskiego-4282,Gdynia,POMORSKIE,64.4,171,645,True
2022,overall,88,019c23da-4809-7922-8ead-161d0e3c157b,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 5 SZKOŁA PODSTAWOWA NR 92 IM. KARD. STEFANA WYSZYŃSKIEGO PRYMASA TYSIĄCLECIA W GDAŃSKU,gdansk/szkola-podstawowa/zespol-szkolno-przedszkolny-nr-5-szkola-podstawowa-nr-92-im-kard-stefana-wyszynskiego-prymasa-tysiaclecia-w-gdansku-17348,Gdańsk,POMORSKIE,64.2,175,645,True
2022,overall,89,019c23da-16a7-7bae-bd8f-f15b4d7b4094,SZKOŁA PODSTAWOWA NR 58 IM. KAZIMIERZA SOŁTYSIKA W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-58-im-kazimierza-soltysika-w-gdansku-16171,Gdańsk,POMORSKIE,64.07,176,645,True
2022,overall,90,019c23e0-d61a-7512-8943-90c776299544,GDAŃSKA SZKOŁA PODSTAWOWA,gdansk/szkola-podstawowa/gdanska-szkola-podstawowa-81749,Gdańsk,POMORSKIE,63.71,179,645,False
2022,overall,91,019c23da-2000-7339-9fe0-e64502f79156,SZKOŁA PODSTAWOWA NR 88 IM. DANIELA GABRIELA FAHRENHEITA W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-88-im-daniela-gabriela-fahrenheita-w-gdansku-16374,Gdańsk,POMORSKIE,63.64,181,645,True
2022,overall,92,019c23a3-6c25-78e2-83db-aa6e190a852b,SZKOŁA PODSTAWOWA NR 39 IM. KPT Ż. W. KAZIMIERZA JURKIEWICZA,gdynia/szkola-podstawowa/szkola-podstawowa-nr-39-im-kpt-z-w-kazimierza-jurkiewicza-4221,Gdynia,POMORSKIE,63.48,184,645,True
2022,overall,93,019c23a3-70f8-75de-8860-8173575c4202,SZKOŁA PODSTAWOWA NR 33 IM. OBROŃCÓW KĘPY OKSYWSKIEJ,gdynia/szkola-podstawowa/szkola-podstawowa-nr-33-im-obroncow-kepy-oksywskiej-4369,Gdynia,POMORSKIE,63.45,185,645,True
2022,overall,94,019c23c2-5021-765c-a5a1-10c9aa4aff6d,SZKOŁA PODSTAWOWA NR 29 IM. JERZEGO PUCKA W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-29-im-jerzego-pucka-w-gdansku-5981,Gdańsk,POMORSKIE,63.38,187,645,True
2022,overall,95,019c23a3-70c6-7bb5-a755-019f996cf421,SZKOŁA PODSTAWOWA NR 17 IM. WICEADM. JÓZEFA UNRUGA,gdynia/szkola-podstawowa/szkola-podstawowa-nr-17-im-wiceadm-jozefa-unruga-4307,Gdynia,POMORSKIE,63.36,188,645,True
2022,overall,96,019c23a3-6c42-73aa-8216-7415b651b210,SZKOŁA PODSTAWOWA NR 6 IM. ANTONIEGO ABRAHAMA,gdynia/szkola-podstawowa/szkola-podstawowa-nr-6-im-antoniego-abrahama-4254,Gdynia,POMORSKIE,63.28,189,645,True
2022,overall,97,019c23da-5197-7e67-b2b5-1afa97f67aed,ZESPÓŁ SZKOLNO - PRZEDSZKOLNY NR 1 W GDAŃSKU - SZKOŁA PODSTAWOWA NR 76 IM. JAROSŁAWA DĄBROWSKIEGO,gdansk/szkola-podstawowa/zespol-szkolno-przedszkolny-nr-1-w-gdansku-szkola-podstawowa-nr-76-im-jaroslawa-dabrowskiego-17523,Gdańsk,POMORSKIE,63.22,191,645,True
2022,overall,98,019c23da-4cf4-7a92-9517-c95e57d65bf2,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 10 IM. EUGENIUSZA KWIATKOWSKIEGO W GDAŃSKU - SZKOŁA PODSTAWOWA NR 18,gdansk/szkola-podstawowa/zespol-szkol-ogolnoksztalcacych-nr-10-im-eugeniusza-kwiatkowskiego-w-gdansku-szkola-podstawowa-nr-18-17430,Gdańsk,POMORSKIE,62.99,195,645,True
2022,overall,99,019c23c2-3f92-75cb-905d-13b1f3eabd7d,SZKOŁA PODSTAWOWA NR 13 IM. LUCJANA CYLKOWSKIEGO,gdynia/szkola-podstawowa/szkola-podstawowa-nr-13-im-lucjana-cylkowskiego-5534,Gdynia,POMORSKIE,62.56,206,645,True
2022,overall,100,019c23d9-eba5-7de0-b876-e70dfbffee51,SZKOŁA PODSTAWOWA NR 82 IM. PROF. JANA CZOCHRALSKIEGO W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-82-im-prof-jana-czochralskiego-w-gdansku-15135,Gdańsk,POMORSKIE,62.54,207,645,True
2022,overall,101,019c23a3-70e8-7c0e-af43-3222d4fabbed,SZKOŁA PODSTAWOWA NR 21 IM. LUDZI MORZA I MARZEŃ W GDYNI,gdynia/szkola-podstawowa/szkola-podstawowa-nr-21-im-ludzi-morza-i-marzen-w-gdyni-4342,Gdynia,POMORSKIE,62.49,210,645,True
2022,overall,102,019c23da-9c15-72ac-ab7f-c6b1a8a99cd9,SZKOŁA PODSTAWOWA NR 83 IM. ŻOŁNIERZY Z WESTERPLATTE W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-83-im-zolnierzy-z-westerplatte-w-gdansku-19432,Gdańsk,POMORSKIE,60.88,234,645,True
2022,overall,103,019c23d8-fd9d-744e-9f82-5950635e30d5,SZKOŁA PODSTAWOWA NR 40 IM. KPT. LEONIDA TELIGI W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-40-im-kpt-leonida-teligi-w-gdansku-9081,Gdańsk,POMORSKIE,60.85,235,645,True
2022,overall,104,019c23dc-b40a-798a-ba95-5692bb2959f6,SZKOŁA PODSTAWOWA NR 43 IM. WICEADMIRAŁA KAZIMIERZA PORĘBSKIEGO,gdynia/szkola-podstawowa/szkola-podstawowa-nr-43-im-wiceadmirala-kazimierza-porebskiego-35190,Gdynia,POMORSKIE,60.17,254,645,True
2022,overall,105,019c23da-6f03-7a2c-aca0-ea29a1b765a7,ZESPÓŁ SZKÓŁ SPORTOWYCH I MISTRZOSTWA SPORTOWEGO IM. JANUSZA KUSOCIŃSKIEGO SPORTOWA SZKOŁA PODSTAWOWA NR 75 Z ODDZIAŁAMI MISTRZOSTWA SPORTOWEGO IM. JANUSZA KUSOCIŃSKIEGO W GDAŃSKU,gdansk/szkola-podstawowa/zespol-szkol-sportowych-i-mistrzostwa-sportowego-im-janusza-kusocinskiego-sportowa-szkola-podstawowa-nr-75-z-oddzialami-mistrzostwa-sportowego-im-janusza-kusocinskiego-w-gdansku-18269,Gdańsk,POMORSKIE,59.95,258,645,True
2022,overall,106,019c23e7-2804-7c8c-82a9-e0fdb5ab5be2,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 6 SZKOŁA PODSTAWOWA NR 6 W GDAŃSKU,gdansk/szkola-podstawowa/zespol-szkolno-przedszkolny-nr-6-szkola-podstawowa-nr-6-w-gdansku-270564,Gdańsk,POMORSKIE,59.95,258,645,True
2022,overall,107,019c23d8-b206-7f8a-bf08-fb2a039dbb74,SZKOŁA PODSTAWOWA NR 31 IM. SYNÓW PUŁKU,gdynia/szkola-podstawowa/szkola-podstawowa-nr-31-im-synow-pulku-7112,Gdynia,POMORSKIE,59.76,264,645,True
2022,overall,108,019c23da-47f8-70d9-9ef8-b86e471b170f,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 4 SZKOŁA PODSTAWOWA NR 11 IM. NA BURSZTYNOWYM SZLAKU W GDAŃSKU,gdansk/szkola-podstawowa/zespol-szkolno-przedszkolny-nr-4-szkola-podstawowa-nr-11-im-na-bursztynowym-szlaku-w-gdansku-17319,Gdańsk,POMORSKIE,59.47,274,645,True
2022,overall,109,019c23dc-d54f-79dc-8565-c0afa55f1254,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 9 - SZKOŁA PODSTAWOWA NR 7 IM.MJRA MIECZYSŁAWA SŁABEGO,gdansk/szkola-podstawowa/zespol-szkolno-przedszkolny-nr-9-szkola-podstawowa-nr-7-im-mjra-mieczyslawa-slabego-39056,Gdańsk,POMORSKIE,59.33,276,645,True
2022,overall,110,019c23d9-0ead-7630-9204-e6b92d9fecdb,SZKOŁA PODSTAWOWA NR 15 IM. DR URSZULI MROCZKIEWICZ W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-15-im-dr-urszuli-mroczkiewicz-w-gdansku-9540,Gdańsk,POMORSKIE,59.27,277,645,True
2022,overall,111,019c23d9-e794-7627-b7b8-61c1032c9f2c,SZKOŁA PODSTAWOWA NR 52 IM. TADEUSZA KOŚCIUSZKI W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-52-im-tadeusza-kosciuszki-w-gdansku-15022,Gdańsk,POMORSKIE,59.17,282,645,True
2022,overall,112,019c23a3-6c55-7725-83c1-8f8655b3fd79,SZKOŁA PODSTAWOWA NR 35 IM. KPT. STANISŁAWA KOSKO,gdynia/szkola-podstawowa/szkola-podstawowa-nr-35-im-kpt-stanislawa-kosko-4284,Gdynia,POMORSKIE,59.11,285,645,True
2022,overall,113,019c23a3-6c51-7e63-8e84-358314c7f2f7,SZKOŁA PODSTAWOWA NR 23,gdynia/szkola-podstawowa/szkola-podstawowa-nr-23-4277,Gdynia,POMORSKIE,58.32,304,645,True
2022,overall,114,019c23e5-2a6a-73ce-975e-592aeded4b87,SZKOŁA PODSTAWOWA AKADEMII DOBREJ EDUKACJI IM. MACIEJA PŁAŻYŃSKIEGO,gdansk/szkola-podstawowa/szkola-podstawowa-akademii-dobrej-edukacji-im-macieja-plazynskiego-126944,Gdańsk,POMORSKIE,57.84,315,645,False
2022,overall,115,019c23d9-f4a4-71d1-8578-220dc18ef7eb,SZKOŁA PODSTAWOWA NR 60 W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-60-w-gdansku-15253,Gdańsk,POMORSKIE,57.44,321,645,True
2022,overall,116,019c23d9-40b0-79b5-9655-7cab9095c18f,SZKOŁA PODSTAWOWA NR 20 W GDAŃSKU IM. KMDR PPOR. JANA GRUDZIŃSKIEGO,gdansk/szkola-podstawowa/szkola-podstawowa-nr-20-w-gdansku-im-kmdr-ppor-jana-grudzinskiego-10842,Gdańsk,POMORSKIE,56.68,334,645,True
